177.600682,0.9999,0.0002,0.0030,0.0031
177.611644,0.9999,-0.0035,0.0048,0.0051
177.621936,0.9999,-0.0072,0.0064,0.0069
177.631072,0.9998,-0.0108,0.0079,0.0083
177.641641,0.9998,-0.0145,0.0092,0.0093
177.650566,0.9997,-0.0180,0.0104,0.0101
177.661172,0.9996,-0.0215,0.0115,0.0107
177.671795,0.9995,-0.0248,0.0128,0.0111
177.680757,0.9994,-0.0280,0.0139,0.0115
177.691387,0.9993,-0.0312,0.0149,0.0117
177.700348,0.9992,-0.0343,0.0160,0.0120
177.710994,0.9990,-0.0374,0.0169,0.0121
177.721620,0.9989,-0.0406,0.0176,0.0121
177.730580,0.9988,-0.0438,0.0182,0.0120
177.741220,0.9986,-0.0469,0.0188,0.0117
177.750201,0.9985,-0.0499,0.0195,0.0114
177.760849,0.9983,-0.0526,0.0204,0.0113
177.771454,0.9982,-0.0552,0.0214,0.0114
177.780396,0.9980,-0.0578,0.0225,0.0115
177.791040,0.9978,-0.0604,0.0236,0.0116
177.799994,0.9976,-0.0632,0.0246,0.0115
177.810629,0.9974,-0.0663,0.0256,0.0113
177.821276,0.9971,-0.0696,0.0263,0.0110
177.830230,0.9969,-0.0732,0.0271,0.0107
177.840867,0.9966,-0.0768,0.0278,0.0104
177.849854,0.9963,-0.0805,0.0284,0.0098
177.860450,0.9960,-0.0841,0.0289,0.0091
177.871050,0.9957,-0.0874,0.0295,0.0084
177.879984,0.9954,-0.0906,0.0300,0.0078
177.890672,0.9951,-0.0936,0.0305,0.0071
177.899688,0.9948,-0.0965,0.0309,0.0065
177.910366,0.9945,-0.0995,0.0312,0.0059
177.921046,0.9941,-0.1028,0.0314,0.0051
177.930033,0.9938,-0.1064,0.0317,0.0046
177.940718,0.9933,-0.1103,0.0320,0.0042
177.949739,0.9929,-0.1145,0.0322,0.0038
177.959908,0.9924,-0.1187,0.0323,0.0036
177.970090,0.9919,-0.1228,0.0324,0.0033
177.980260,0.9914,-0.1267,0.0321,0.0029
177.990446,0.9909,-0.1306,0.0315,0.0024
178.000621,0.9904,-0.1345,0.0308,0.0020
178.010864,0.9899,-0.1379,0.0305,0.0020
178.019413,0.9894,-0.1415,0.0304,0.0021
178.029616,0.9890,-0.1451,0.0303,0.0021
178.039825,0.9884,-0.1486,0.0306,0.0023
178.050032,0.9878,-0.1523,0.0313,0.0025
178.060248,0.9872,-0.1561,0.0322,0.0029
178.069263,0.9865,-0.1599,0.0333,0.0035
178.079480,0.9858,-0.1637,0.0345,0.0042
178.090179,0.9852,-0.1675,0.0353,0.0049
178.099220,0.9846,-0.1711,0.0359,0.0053
178.109940,0.9839,-0.1748,0.0363,0.0056
178.120628,0.9833,-0.1783,0.0364,0.0056
178.129650,0.9826,-0.1818,0.0366,0.0057
178.140340,0.9819,-0.1853,0.0370,0.0057
178.149376,0.9812,-0.1889,0.0377,0.0057
178.160061,0.9805,-0.1926,0.0387,0.0057
178.169092,0.9797,-0.1963,0.0401,0.0057
178.179781,0.9788,-0.2002,0.0418,0.0057
178.188787,0.9779,-0.2042,0.0436,0.0059
178.199473,0.9770,-0.2081,0.0454,0.0062
178.210152,0.9760,-0.2122,0.0471,0.0066
178.219158,0.9750,-0.2164,0.0485,0.0071
178.229852,0.9741,-0.2206,0.0497,0.0076
178.238888,0.9730,-0.2247,0.0506,0.0082
178.249477,0.9721,-0.2287,0.0512,0.0089
178.260065,0.9711,-0.2328,0.0515,0.0097
178.269007,0.9701,-0.2369,0.0516,0.0104
178.279616,0.9691,-0.2407,0.0513,0.0110
178.288566,0.9682,-0.2447,0.0510,0.0114
178.299165,0.9672,-0.2486,0.0507,0.0117
178.309793,0.9662,-0.2525,0.0504,0.0120
178.318746,0.9651,-0.2565,0.0502,0.0120
178.329351,0.9641,-0.2604,0.0500,0.0120
178.339961,0.9631,-0.2643,0.0499,0.0117
178.348932,0.9620,-0.2681,0.0498,0.0115
178.359550,0.9610,-0.2717,0.0499,0.0117
178.368536,0.9600,-0.2754,0.0502,0.0119
178.379175,0.9589,-0.2790,0.0505,0.0124
178.389808,0.9578,-0.2826,0.0507,0.0131
178.398772,0.9567,-0.2861,0.0510,0.0138
178.409429,0.9556,-0.2898,0.0508,0.0146
178.418397,0.9545,-0.2935,0.0504,0.0152
178.429016,0.9534,-0.2971,0.0497,0.0157
178.439685,0.9523,-0.3008,0.0487,0.0161
178.448645,0.9512,-0.3045,0.0476,0.0163
178.459270,0.9500,-0.3083,0.0464,0.0164
178.468214,0.9488,-0.3121,0.0454,0.0162
178.478837,0.9475,-0.3162,0.0445,0.0159
178.489465,0.9461,-0.3204,0.0437,0.0153
178.498425,0.9448,-0.3246,0.0430,0.0146
178.509046,0.9433,-0.3289,0.0424,0.0139
178.517996,0.9418,-0.3331,0.0417,0.0131
178.528612,0.9404,-0.3372,0.0411,0.0121
178.539230,0.9390,-0.3414,0.0403,0.0112
178.548179,0.9376,-0.3454,0.0396,0.0104
178.558838,0.9362,-0.3492,0.0389,0.0098
178.567795,0.9348,-0.3531,0.0382,0.0094
178.578420,0.9334,-0.3567,0.0375,0.0092
178.589034,0.9321,-0.3600,0.0367,0.0092
